id,family,sub_requirement,source,category,evidence
NS1,micro-segmentation,default-deny ingress (모든 파드),A,VERIFIED,verify:L1 web->db 000
NS2,micro-segmentation,default-deny egress (모든 파드),A,VERIFIED,verify:egress 000 x3
NS3,micro-segmentation,least-privilege L3 hops (web->api->db only),A,VERIFIED,verify:web->db 000 / api->db 200
NS4,micro-segmentation,L7 method+path restriction (Envoy),A,VERIFIED,verify:L2 /auditlogs 403
NS5,micro-segmentation,cross-namespace isolation,B,VERIFIED,cross-ns isolation PROVEN LIVE in CI (scripts/verify-cross-ns.sh on kind+Cilium; CI run 27751842751 step green): a pod in a FOREIGN namespace (intruder) is BLOCKED from db:8080 and api:8080 (000) while web IS reachable by design (allow-ingress-to-web fromEntities:cluster) — the web control proves L3 connectivity so the db/api block is policy isolation not a missing route; if the apparatus breaks the control returns 000 and the run FAILS (no silent pass). Scope: SENSITIVE tiers (db/api) ns-isolated; web intentionally cluster-reachable (not claimed isolated)
ZT1,zero-trust,egress to internet blocked,A,VERIFIED,verify:web->internet 000
ZT2,zero-trust,egress to cloud metadata (169.254.169.254) blocked,A,VERIFIED,verify:metadata 000
ZT3,zero-trust,egress to kube-apiserver blocked,A,VERIFIED,verify:apiserver 000
ZT4,zero-trust,per-request re-evaluation (not cached grant),A,VERIFIED,verify:Cedar evaluated each probe
ID1,credential-forgery,label<->SA consistency at admission,A,VERIFIED,verify:forged app:api on web-sa DENY
ID2,credential-forgery,requester<->SA binding (SA-use gate),A,VERIFIED,verify:CI SA as api-sa DENY / admin ADMIT
ID3,credential-forgery,SA-use covers CronJob path,A,VERIFIED,verify:CronJob as api-sa DENY
ID4,credential-forgery,SPIFFE SVID mutual-auth on edge,A,CONFIGURED,opt-in netpol-mutual (web->api mode:required); SPIRE handshake is live-demonstrable (POSITIVE: web->api 200 + cilium-agent "Successfully authenticated" / auth-map entry) but there is NO clean DENY without breaking SPIRE (healthy SPIRE auto-issues every Cilium identity an SVID via selector cilium:mutual-auth -> handshake always succeeds); the self-consistent forge (app:api+api-sa) is closed by the SA-use gate (ID2), NOT by the SVID (Cilium 1.16.5 SVID is label/identity-derived, not SA-crypto-derived) -> stays CONFIGURED not VERIFIED, no overclaim
ID5,credential-forgery,tier SA has zero K8s API rights,A,VERIFIED,verify:api-sa no create-pods/secrets
ID6,credential-forgery,SA token not mounted,A,VERIFIED,LIVE re-runnable scripts/verify-token-not-mounted.sh (CI integration): /var/run/secrets/.../token ABSENT on web/api (network-reachable tiers) + 3 tiers automountServiceAccountToken=false static incl. db (db is static-only: readOnlyRootFS+emptyDir at /var/run makes a live path-probe ambiguous; automount=false guarantees no token regardless)
ID7,credential-forgery,SA-use other namespaces,A,VERIFIED,verify-kyverno: Kyverno SA-use ClusterPolicy DENY in 2nd ns (kyv-demo) - cluster-wide proven (opt-in capstone)
ID8,credential-forgery,requester Bearer-JWT signature+audience verification (RFC 8707),A,VERIFIED,auth_test.py 18/18 (unit) + scripts/verify-jwt-enforce.ps1 LIVE on kind (AUTH_REQUIRE_JWT=1): X-User-only 401 / no-cred 401 / valid aud-bound Bearer 200, demo restored. Enforce is opt-in: default deploy keeps X-User demo input so verify.sh 21/21 is unaffected
LP1,least-privilege,Cedar owner check,A,VERIFIED,verify:bob GET alice 403
LP2,least-privilege,Cedar transfer limit,A,VERIFIED,verify:transfer 5000 403
LP3,least-privilege,Cedar frozen-account forbid,A,VERIFIED,verify:frozen 403
LP4,least-privilege,Cedar positive-amount guard,A,VERIFIED,verify:-100 403
LP5,least-privilege,Cedar role hierarchy (auditlog),A,VERIFIED,authz.py:auditor allow / customer deny
LP6,least-privilege,input charset validation (X-User),A,VERIFIED,verify:malformed X-User 400
LP7,least-privilege,deployer minimal RBAC (no pods/secrets/SA),A,VERIFIED,LIVE kubectl auth can-i (CI integration job on kind): shop:deployers + shop:tier-operators groups cannot create pods / get secrets / mint serviceaccounts / create rolebindings + CAN create deployments - effective RBAC across ALL bindings (scripts/check-deployer-rbac.py --live); plus the same script as a no-cluster static drift-guard in the policy gate
ET1,encryption-transit,WireGuard cross-node encryption,B,VERIFIED,verify:api/db on diff nodes + wg active (api->db crosses wire)
ET2,encryption-transit,packet-captured ciphertext (tcpdump),B,VERIFIED,capture-wg:WG UDP/51871 pkts over 25s window + 0 plaintext on eth0 (cross-node)
ER1,encryption-rest,etcd Secret encryption-at-rest (AES-CBC cipher; by design),B,VERIFIED,enable-secrets-encryption: k8s:enc:aescbc / no plaintext — VERIFIED = encryption-at-rest is LIVE-PROVEN (ciphertext in etcd; zero plaintext); the AES-CBC cipher is a DELIBERATE teaching choice openly flagged upstream-Weak (no-AEAD; kubernetes#73514) -> aesgcm/secretbox/KMS for production (docs/06-data-protection.md; M5 lab); the label asserts the control is proven; NOT a production-cipher claim
ER2,encryption-rest,key rotation procedure,B,CONFIGURED,runbook 02 2-key flow; not automated/tested
ER3,encryption-rest,managed KMS/HSM key mgmt,B,NOT_COVERED,local demo; AWS path documented only
ED1,detection-edr,runtime exec kill (data tier),A,VERIFIED,verify:ALL data-tier exec SIGKILLed (id+sh rc=137) - shipped rule is zero-exec (execve+execveat), name/arg0-independent; supersedes the naive selective shell-name rule (bypassable via renamed/execveat/fd-exec) now kept in the M4 lab; matchBinaries matches caller not new binary - M8-validated; ADR docs/decisions/0001
ED2,detection-edr,process-exec audit trail,B,CONFIGURED,Tetragon logs present; not asserted in suite
ED3,detection-edr,broader runtime policies (other tiers / non-exec),B,NOT_COVERED,data-tier exec fully blocked (zero-exec); web/api tiers + network-tool/non-exec coverage out of scope. M11 provides the BPF-LSM exec-allowlist mechanism (loaded-image identity via bprm_check_security) for non-zero-exec tiers, but BPF-LSM is absent in EVERY environment this repo can reach (LIVE-CONFIRMED): labs/m11/grade.sh is wired into the CI integration job and SKIPs there - the GitHub runner lsm=lockdown/capability/landlock/yama/apparmor/ima/evm has NO bpf (disallowed /bin/sh survived rc=0), as do kind/Docker-Desktop. So ED3 stays NOT_COVERED, headline unchanged - would need a kernel with bpf in lsm= (custom boot param / dedicated VM), out of this repo's CI scope
SL1,shift-left,IaC + K8s manifest scan (checkov),B,VERIFIED,checkov 452 pass / 0 fail
SL2,shift-left,secret scan (gitleaks),B,VERIFIED,gitleaks gate PROVEN (scripts/verify-gitleaks.sh — CI pinned gitleaks 8.30.1 + local): plants a synthetic AWS key id + private-key block in a temp dir -> caught (exit!=0 / leaks found:1) and a clean tree passes (exit 0) — the secret-scan analogue of the SL4 catch-known-bad/pass-known-good proof; repo-wide gitleaks-action (SHA-pinned) honors .gitleaks.toml (useDefault=true; only the proof script's synthetic fixtures allowlisted by path)
SL3,shift-left,CI enforcement gate,B,VERIFIED,CI runs verify.sh on push
SL4,shift-left,image vuln+secret scan (trivy),B,VERIFIED,scan gate:exit1 on CVE-2025-62727 / exit0 after starlette bump
SL5,shift-left,SBOM generation (CycloneDX),B,VERIFIED,scan gate:trivy cyclonedx 103 components
SL6,shift-left,image signing / provenance attestation (cosign/SLSA),B,VERIFIED,verify-image-signing: Kyverno verifyImages signed->ADMIT / unsigned->DENY via cosign keyful + local OCI registry (local-key path; opt-in)
GV1,governance,C/S/O data classification governance,G,GOVERNANCE,workload cannot test; NIS MLS process
GV2,governance,CEO/board reporting + 시정요구 대응,G,GOVERNANCE,organizational; out of workload scope
GV3,governance,DLP (data loss prevention),G,NOT_COVERED,enterprise control; absent here
GV4,governance,SIEM / centralized audit integration,G,NOT_COVERED,signal export points noted; no integration
